key,en-US,ja-JP,ko-KR,zh-CN,es-ES,de-DE,fr-FR,id-ID,hi-IN
log_manual_removal_protection,'{0}' stays disabled due to manual removal protection.,手動削除保護のため「{0}」は無効のままです。,수동 제거 보호로 인해 '{0}'은 계속 비활성 상태로 유지됩니다.,由于手动删除保护，“{0}”保持禁用状态。,'{0}' permanece deshabilitado debido a la protección de eliminación manual.,„{0}“ bleibt aufgrund des Schutzes vor manueller Entfernung deaktiviert.,« {0} » reste désactivé en raison de la protection contre la suppression manuelle.,'{0}' tetap dinonaktifkan karena perlindungan penghapusan manual.,मैन्युअल हटाने की सुरक्षा के कारण '{0}' अक्षम रहेगा।
log_status_changed,Status change for '{0}' ({1}). New status: {2}. Path: {3},「{0}」（{1}）の状態が変更されました。新しい状態: {2}。パス: {3},'{0}'({1})의 상태가 변경되었습니다. 새 상태: {2}. 경로: {3},“{0}”（{1}）的状态已更改。新状态：{2}。路径：{3},Cambio de estado para '{0}' ({1}). Nuevo estado: {2}. Ruta: {3},Statusänderung für „{0}“ ({1}). Neuer Status: {2}. Pfad: {3},Changement d'état pour « {0} » ({1}). Nouvel état : {2}. Chemin : {3},Perubahan status untuk '{0}' ({1}). Status baru: {2}. Path: {3},'{0}' ({1}) के लिए स्थिति परिवर्तन। नई स्थिति: {2}. पाथ: {3}
log_final_desired_defines,Final desired defines: {0},最終的に必要な定義: {0},최종 적용할 정의: {0},最终需要的定义：{0},Definiciones finales deseadas: {0},Endgültig gewünschte Defines: {0},Définitions finales souhaitées : {0},Define akhir yang diinginkan: {0},अंतिम वांछित defines: {0}
log_final_defines_named_target,"Final defines list for build target '{0}': ""{1}""","ビルドターゲット「{0}」の最終定義: ""{1}""","빌드 타깃 '{0}'의 최종 정의 목록: ""{1}""","构建目标“{0}”的最终定义列表：""{1}""","Lista final de definiciones para el objetivo de compilación '{0}': ""{1}""","Endgültige Define-Liste für Buildziel „{0}“: ""{1}""","Liste finale des définitions pour la cible de build « {0} » : ""{1}""","Daftar define akhir untuk target build '{0}': """"{1}""""","Build target '{0}' के लिए अंतिम defines सूची: """"{1}"""""
log_final_defines_group,"Final defines list for build target group '{0}': ""{1}""","ビルドターゲットグループ「{0}」の最終定義: ""{1}""","빌드 타깃 그룹 '{0}'의 최종 정의 목록: ""{1}""","构建目标组“{0}”的最终定义列表：""{1}""","Lista final de definiciones para el grupo de destino '{0}': ""{1}""","Endgültige Define-Liste für Buildzielgruppe „{0}“: ""{1}""","Liste finale des définitions pour le groupe de cibles « {0} » : ""{1}""","Daftar define akhir untuk grup target build '{0}': """"{1}""""","Build target group '{0}' के लिए अंतिम defines सूची: """"{1}"""""
▮▮▮ DependencyManager.AsmdefManagement ▮▮▮,,,,,,,,,
log_asmdef_references_updated,Updated references in existing asmdef '{0}',既存の asmdef '{0}' の参照を更新しました,기존 asmdef '{0}'의 참조를 업데이트했습니다,已更新现有 asmdef '{0}' 中的引用,Referencias actualizadas en el asmdef existente '{0}',Referenzen in vorhandenem asmdef '{0}' aktualisiert,Références mises à jour dans l'asmdef existant « {0} »,Referensi diperbarui di asmdef '{0}' yang sudah ada,मौजूदा asmdef '{0}' में संदर्भ अपडेट किए गए
log_asmdef_created,Created asmdef '{0}' at {1},asmdef '{0}' を {1} に作成しました,asmdef '{0}'을(를) {1}에 생성했습니다,已在 {1} 创建 asmdef '{0}',asmdef '{0}' creado en {1},asmdef '{0}' bei {1} erstellt,asmdef « {0} » créé à {1},asmdef '{0}' dibuat di {1},asmdef '{0}' को {1} पर बनाया गया
log_asmdef_deleted,Deleted generated asmdef at {0},生成された asmdef を {0} で削除しました,{0}에서 생성된 asmdef를 삭제했습니다,已删除 {0} 处生成的 asmdef,asmdef generado en {0} eliminado,Generiertes asmdef bei {0} gelöscht,asmdef généré à {0} supprimé,asmdef yang dihasilkan di {0} dihapus,{0} पर उत्पन्न asmdef हटाया गया
▮▮▮ DependencyManager.AsmdefReferences ▮▮▮,,,,,,,,,
log_asmdef_path_not_found,Could not find path for asmdef asset '{0}',asmdef アセット '{0}' のパスが見つかりませんでした,asmdef 자산 '{0}'의 경로를 찾을 수 없습니다,找不到 asmdef 资产{0}的路径,No se encontró la ruta del asset asmdef '{0}',Pfad für asmdef-Asset '{0}' konnte nicht gefunden werden,Impossible de trouver le chemin de l'asset asmdef « {0} »,Path untuk asset asmdef '{0}' tidak ditemukan,asmdef asset '{0}' का पाथ नहीं मिला
log_asmdef_guid_added,Added GUID reference '{0}' to {1},GUID 参照 '{0}' を {1} に追加しました,GUID 참조 '{0}'을(를) {1}에 추가했습니다,已将 GUID 参照{0}添加到 {1},Referencia GUID '{0}' añadida a {1},GUID-Referenz '{0}' zu {1} hinzugefügt,Référence GUID « {0} » ajoutée à {1},Referensi GUID '{0}' ditambahkan ke {1},GUID रेफरेंस '{0}' {1} में जोड़ा गया
log_asmdef_guid_removed,Removed GUID reference '{0}' from {1},GUID 参照 '{0}' を {1} から削除しました,GUID 참조 '{0}'을(를) {1}에서 제거했습니다,已从 {1} 删除 GUID 参照{0},Referencia GUID '{0}' eliminada de {1},GUID-Referenz '{0}' aus {1} entfernt,Référence GUID « {0} » retirée de {1},Referensi GUID '{0}' dihapus dari {1},GUID रेफरेंस '{0}' {1} से हटाया गया
log_asmdef_plain_name_removed,Removed plain-name duplicate '{0}' from {1},プレーンネームの重複 '{0}' を {1} から削除しました,일반 이름 중복 '{0}'을(를) {1}에서 제거했습니다,已从 {1} 删除纯名称副本{0},Duplicado de nombre simple '{0}' eliminado de {1},Einfachname-Duplikat '{0}' aus {1} entfernt,Doublon de nom simple « {0} » retiré de {1},Duplikat nama biasa '{0}' dihapus dari {1},सरल नाम डुप्लीकेट '{0}' {1} से हटाया गया
log_asmdef_not_ready,Required asmdefs are not all present for '{0}'. Define will not be added until they are.,'{0}' に必要な asmdef がすべて揃っていません。すべてが揃うまで define は追加されません。,'{0}'에 필요한 asmdef가 모두 존재하지 않습니다. 모두 존재할 때까지 define이 추가되지 않습니다.,'{0}' 所需的 asmdef 尚未全部就绪。在全部就绪之前不会添加 define。,Los asmdefs requeridos no están todos presentes para '{0}'. El define no se añadirá hasta que lo estén.,Nicht alle erforderlichen asmdefs für '{0}' sind vorhanden. Das Define wird erst hinzugefügt wenn alle vorhanden sind.,Les asmdefs requis ne sont pas tous présents pour « {0} ». Le define ne sera ajouté que lorsqu'ils le seront.,Tidak semua asmdef yang diperlukan tersedia untuk '{0}'. Define tidak akan ditambahkan sampai semuanya tersedia.,'{0}' के लिए आवश्यक सभी asmdefs मौजूद नहीं हैं। सभी मौजूद होने तक define नहीं जोड़ा जाएगा।
▮▮▮ DependencyManager.ScriptSearch ▮▮▮,,,,,,,,,
log_assembly_location_failed,Failed to get assembly location for {0}: {1},{0} のアセンブリ位置の取得に失敗しました: {1},{0}에 대한 어셈블리 위치를 가져오지 못했습니다: {1},获取 {0} 的程序集位置失败：{1},No se pudo obtener la ubicación de ensamblado para {0}: {1},Assemblystandort für {0} konnte nicht abgerufen werden: {1},Impossible d'obtenir l'emplacement de l'assembly pour {0} : {1},Gagal mendapatkan lokasi assembly untuk {0}: {1},{0} के लिए assembly स्थान प्राप्त नहीं हुआ: {1}
log_script_found_at,"{0} script found at '{1}', assembly='{2}'",{0}: スクリプトが '{1}' で見つかりました。assembly='{2}',{0}: 스크립트가 '{1}'에서 발견되었습니다. assembly='{2}',{0}: 在{1}找到脚本。assembly={2},"{0}: Script encontrado en '{1}', assembly='{2}'","{0}: Skript gefunden bei '{1}', assembly='{2}'","{0} : script trouvé à « {1} », assembly=« {2} »","{0}: Skrip ditemukan di '{1}', assembly='{2}'","{0}: '{1}' पर script मिला, assembly='{2}'"
log_script_found_but_ignored,{0} found but ignored (path mismatch: {1}),{0} が見つかりましたが無視されました (パス不一致: {1}),{0}이(가) 발견되었지만 무시되었습니다 (경로 불일치: {1}),找到{0}但已忽略（路径不匹配：{1}）,{0} encontrado pero ignorado (no coincide la ruta: {1}),{0} gefunden aber ignoriert (Pfad stimmt nicht überein: {1}),{0} trouvé mais ignoré (chemin non concordant : {1}),{0} ditemukan tetapi diabaikan (jalur tidak cocok: {1}),{0} मिला लेकिन अनदेखा किया गया (path mismatch: {1})
▮▮▮ DependencyItemEditor ▮▮▮,,,,,,,,,
label_current_status,Current Status,現在のステータス,현재 상태,当前状態,Estado actual,Aktueller Status,État actuel,Status Saat Ini,वर्तमान स्थिति
label_is_enabled,Is Enabled,有効,활성화 여부,是否启用,Habilitado,Aktiviert,Activé,Aktif,सक्षम है
label_script_path,Script Path,スクリプトパス,스크립트 경로,脚本路径,Ruta de script,Skript-Pfad,Chemin du script,Path Skrip,Script पाथ
label_status,Status,ステータス,상태,状态,Estado,Status,État,Status,स्थिति
label_removed_manually,Removed Manually,手動で削除,수동으로 제거됨,已手动删除,Eliminado manualmente,Manuell entfernt,Supprimé manuellement,Dihapus Secara Manual,मैन्युअल रूप से हटाया गया
label_check_dependency_now,Check Dependency Now,今すぐ依存を確認,지금 의존성 확인,立即检查依赖项,Comprobar dependencia ahora,Abhängigkeit jetzt prüfen,Vérifier la dépendance maintenant,Periksa Dependensi Sekarang,अभी dependency जाँचें
▮▮▮ DependencyManagerWindow ▮▮▮,,,,,,,,,
label_dependency_manager_window,Dependency Manager,依存関係マネージャー,의존성 관리자,依赖关系管理器,Administrador de dependencias,Dependency Manager,Gestion de dépendances,Manajer Dependensi,Dependency Manager
label_dependencies_count,Dependencies: {0},Dependencies: {0},Dependencies: {0},Dependencies: {0},Dependencies: {0},Dependencies: {0},Dependencies: {0},Dependencies: {0},Dependencies: {0}
label_refresh,Refresh,更新,새로 고침,刷新,Actualizar,Aktualisieren,Actualiser,Perbarui,रीफ्रेश
label_auto_detect,Auto Detect,自動検出,자동 감지,自动检测,Detección automática,Automatisch erkennen,Détection automatique,Deteksi Otomatis,स्वतः पहचान
label_disabled_manually,Disabled manually,手動で無効化,수동으로 비활성화됨,已手动禁用,Desactivado manualmente,Manuell deaktiviert,Désactivé manuellement,Dinonaktifkan secara manual,मैन्युअल रूप से अक्षम
label_auto_managed,Auto managed,自動管理,자동 관리됨,自动管理,Gestionado automáticamente,Automatisch verwaltet,Géré automatiquement,Dikelola otomatis,स्वतः प्रबंधित
label_define,Define: {0},Define: {0},Define: {0},Define: {0},Define: {0},Define: {0},Define: {0},Define: {0},Define: {0}
label_type,Type: {0},Type: {0},Type: {0},Type: {0},Type: {0},Type: {0},Type: {0},Type: {0},Type: {0}
label_path,Path: {0},Path: {0},Path: {0},Path: {0},Path: {0},Path: {0},Path: {0},Path: {0},Path: {0}
